Division,Make,MasterCollection,Collection,Classification,SubClassification,SubSection,Type,Gender,DesignNumber,Jewellery
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0105,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0106,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0107,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0108,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0125,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0131,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0136,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0141,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0158,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0171,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0173,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0181,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0189,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0190,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0191,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0193,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0196,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0200,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0201,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0205,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0216,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0217,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0224,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0225,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0228,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0231,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0233,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0235,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0236,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0237,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0242,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0243,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0245,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0252,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0254,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0257,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0258,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0262,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0263,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0269,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0273,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0275,BANGLE
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0005,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0007,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0008,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0015,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0017,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0028,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0034,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0040,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0069,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0071,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0072,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0074,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0075,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0076,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0077,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0078,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0079,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0080,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0081,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0082,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0115,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0116,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0117,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0118,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0119,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0130,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0152,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0153,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0154,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0155,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0156,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0158,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0189,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0198,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0205,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0214,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0219,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0220,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0312,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0669,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0763,CHAIN
GOLD,18 CT,ROSE GOLD,ROSSETE,LIFE STYLE,L2,BB- FANCY,SHORT,LADIES,RGROS0768,CHAIN
